timestamp,temperatura_C,umidita_aria_pct,pressione_hPa,gas_voc_kOhm,umidita_suolo_raw,umidita_suolo_pct,bme_ok
2026-05-13 21:53:57,24.27,42.51,996.5,35.62,4095,0.0,True,1
2026-05-13 21:56:13,24.23,42.71,996.5,37.13,4095,0.0,True,1
2026-05-13 21:58:38,24.08,43.2,996.52,37.9,4095,0.0,True,1
2026-05-13 21:59:47,24.15,43.06,996.54,38.39,4095,0.0,True,1
2026-05-13 22:00:58,24.15,42.82,996.55,39.1,4095,0.0,True,1
2026-05-13 22:02:06,24.09,42.67,996.57,39.47,4095,0.0,True,1
2026-05-13 22:03:18,24.06,42.56,996.55,39.99,4095,0.0,True,1
2026-05-13 22:04:32,23.96,42.75,996.59,40.07,4095,0.0,True,1
2026-05-13 22:05:41,23.94,42.74,996.58,40.38,4095,0.0,True,1
2026-05-13 22:06:50,23.81,42.83,996.61,41.09,4095,0.0,True,1
2026-05-13 22:07:58,23.87,42.88,996.6,41.49,4095,0.0,True,1
2026-05-13 22:09:16,23.84,43.17,996.6,41.74,4095,0.0,True,1
2026-05-13 22:19:30,26.2,86.74,996.67,29.08,4095,0.0,True,1
2026-05-13 22:20:39,26.03,87.03,996.65,30.8,4095,0.0,True,1
2026-05-13 22:21:58,25.48,82.27,996.62,32.61,1,100.0,True,1
2026-05-13 22:23:07,25.67,80.91,996.59,33.47,3,100.0,True,1
2026-05-13 22:26:24,25.66,86.97,996.69,36.02,0,100.0,True,1
2026-05-13 22:28:53,25.28,87.93,996.64,37.04,0,100.0,True,1
2026-05-13 22:31:17,25.02,88.69,996.61,38.42,1,100.0,True,1
2026-05-13 22:32:31,24.91,88.91,996.59,39.47,0,100.0,True,1
2026-05-13 22:33:39,24.79,89.16,996.62,39.65,0,100.0,True,1
2026-05-13 22:37:12,24.51,89.62,996.6,41.7,0,100.0,True,1
2026-05-13 22:38:21,24.43,89.72,996.6,42.5,0,100.0,True,1
